Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
acer-dulcia,Acer Dulcia,<p>Subtle maple with crisp apple and a suggestion of walnut.</p>,Cloud Alchemist,E Liquid,"",true,Size,07ml,Nicotine Level,03mg,PG/VG Ratio,20pg/80vg,"",15,shopify,22,continue,manual,4.99,,true,true,,https://cdn.shopify.com/s/files/1/1026/5581/products/Acer-Dulcia.jpeg?v=1451296908,Acer Dulcia - Cloud Alchemist E Liquid,false,,,,,,,,,,,,,,,,,g
acer-dulcia,,,,,,,,07ml,,03mg,,50pg/50vg,"",15,shopify,29,continue,manual,4.99,,true,true,,,,,,,,,,,,,,,,,,,,,g
acer-dulcia,,,,,,,,07ml,,1.5mg,,20pg/80vg,"",15,shopify,29,continue,manual,4.99,,true,true,,,,,,,,,,,,,,,,,,,,,g
acer-dulcia,,,,,,,,07ml,,1.5mg,,50pg/50vg,"",15,shopify,30,continue,manual,4.99,,true,true,,,,,,,,,,,,,,,,,,,,,g
acer-dulcia,,,,,,,,07ml,,00mg,,20pg/80vg,"",15,shopify,29,continue,manual,4.99,,true,true,,,,,,,,,,,,,,,,,,,,,g
acer-dulcia,,,,,,,,07ml,,00mg,,50pg/50vg,"",15,shopify,30,continue,manual,4.99,,true,true,,,,,,,,,,,,,,,,,,,,,g
acer-dulcia,,,,,,,,07ml,,06mg,,20pg/80vg,"",15,shopify,24,continue,manual,4.99,,true,true,,,,,,,,,,,,,,,,,,,,,g
acer-dulcia,,,,,,,,07ml,,06mg,,50pg/50vg,"",15,shopify,27,continue,manual,4.99,,true,true,,,,,,,,,,,,,,,,,,,,,g
acer-dulcia,,,,,,,,07ml,,12mg,,20pg/80vg,"",15,shopify,29,continue,manual,4.99,,true,true,,,,,,,,,,,,,,,,,,,,,g
acer-dulcia,,,,,,,,07ml,,12mg,,50pg/50vg,"",15,shopify,30,continue,manual,4.99,,true,true,,,,,,,,,,,,,,,,,,,,,g
acer-dulcia,,,,,,,,07ml,,18mg,,20pg/80vg,"",15,shopify,30,continue,manual,4.99,,true,true,,,,,,,,,,,,,,,,,,,,,g
acer-dulcia,,,,,,,,07ml,,18mg,,50pg/50vg,"",15,shopify,30,continue,manual,4.99,,true,true,,,,,,,,,,,,,,,,,,,,,g
acer-dulcia,,,,,,,,15ml,,03mg,,20pg/80vg,"",56,shopify,15,continue,manual,9.99,,true,true,,,,,,,,,,,,,,,,,,,,,g
acer-dulcia,,,,,,,,15ml,,03mg,,50pg/50vg,"",56,shopify,28,continue,manual,9.99,,true,true,,,,,,,,,,,,,,,,,,,,,g
acer-dulcia,,,,,,,,15ml,,1.5mg,,20pg/80vg,"",56,shopify,29,continue,manual,9.99,,true,true,,,,,,,,,,,,,,,,,,,,,g
acer-dulcia,,,,,,,,15ml,,1.5mg,,50pg/50vg,"",56,shopify,30,continue,manual,9.99,,true,true,,,,,,,,,,,,,,,,,,,,,g
acer-dulcia,,,,,,,,15ml,,00mg,,20pg/80vg,"",56,shopify,29,continue,manual,9.99,,true,true,,,,,,,,,,,,,,,,,,,,,g
acer-dulcia,,,,,,,,15ml,,00mg,,50pg/50vg,"",56,shopify,30,continue,manual,9.99,,true,true,,,,,,,,,,,,,,,,,,,,,g
acer-dulcia,,,,,,,,15ml,,06mg,,20pg/80vg,"",56,shopify,27,continue,manual,9.99,,true,true,,,,,,,,,,,,,,,,,,,,,g
acer-dulcia,,,,,,,,15ml,,06mg,,50pg/50vg,"",56,shopify,30,continue,manual,9.99,,true,true,,,,,,,,,,,,,,,,,,,,,g
acer-dulcia,,,,,,,,15ml,,12mg,,20pg/80vg,"",56,shopify,30,continue,manual,9.99,,true,true,,,,,,,,,,,,,,,,,,,,,g
acer-dulcia,,,,,,,,15ml,,12mg,,50pg/50vg,"",56,shopify,27,continue,manual,9.99,,true,true,,,,,,,,,,,,,,,,,,,,,g
acer-dulcia,,,,,,,,15ml,,18mg,,20pg/80vg,"",56,shopify,30,continue,manual,9.99,,true,true,,,,,,,,,,,,,,,,,,,,,g
acer-dulcia,,,,,,,,15ml,,18mg,,50pg/50vg,"",56,shopify,30,continue,manual,9.99,,true,true,,,,,,,,,,,,,,,,,,,,,g
acer-dulcia,,,,,,,,30ml,,03mg,,20pg/80vg,"",90,shopify,-120,continue,manual,15.99,,true,true,,,,,,,,,,,,,,,,,,,,,g
acer-dulcia,,,,,,,,30ml,,03mg,,50pg/50vg,"",90,shopify,29,continue,manual,15.99,,true,true,,,,,,,,,,,,,,,,,,,,,g
acer-dulcia,,,,,,,,30ml,,1.5mg,,20pg/80vg,"",90,shopify,28,continue,manual,15.99,,true,true,,,,,,,,,,,,,,,,,,,,,g
acer-dulcia,,,,,,,,30ml,,1.5mg,,50pg/50vg,"",90,shopify,30,continue,manual,15.99,,true,true,,,,,,,,,,,,,,,,,,,,,g
acer-dulcia,,,,,,,,30ml,,00mg,,20pg/80vg,"",90,shopify,6,continue,manual,15.99,,true,true,,,,,,,,,,,,,,,,,,,,,g
acer-dulcia,,,,,,,,30ml,,00mg,,50pg/50vg,"",90,shopify,26,continue,manual,15.99,,true,true,,,,,,,,,,,,,,,,,,,,,g
