Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
aloha-eliquids-apples-and-tea,Apples and Tea,"Imagine that green can fresh out of the fridge and now imagine yourself enjoying the taste of a crisp and refreshing apple citrus lime iced tea in your vape.","Aloha eLiquids",E Liquid,"e-Juice preorder,70% VG",true,Bottle Size,15ml,Nicotine Level,0mg,PG/VG Ratio,70% VG,"",15,shopify,0,continue,manual,12.0,,true,true,,https://www.dropbox.com/s/9d4yghm3lzjl8jt/VapeRoomlogo_square.png?dl=0&preview=VapeRoomlogo_square.png,Aloha eLiquids - Apples and Tea - E Liquid,false,,,,,,,,,,,,,,,,,g
aloha-eliquids-apples-and-tea,,,,,,,,15ml,,3mg,,70% VG,"",15,shopify,0,continue,manual,12.0,,true,true,,https://www.dropbox.com/s/9d4yghm3lzjl8jt/VapeRoomlogo_square.png?dl=0&preview=VapeRoomlogo_square.png,Aloha eLiquids - Apples and Tea - E Liquid,,,,,,,,,,,,,,,,,,g
aloha-eliquids-apples-and-tea,,,,,,,,15ml,,6mg,,70% VG,"",15,shopify,0,continue,manual,12.0,,true,true,,https://www.dropbox.com/s/9d4yghm3lzjl8jt/VapeRoomlogo_square.png?dl=0&preview=VapeRoomlogo_square.png,Aloha eLiquids - Apples and Tea - E Liquid,,,,,,,,,,,,,,,,,,g
aloha-eliquids-apples-and-tea,,,,,,,,15ml,,12mg,,70% VG,"",15,shopify,0,continue,manual,12.0,,true,true,,https://www.dropbox.com/s/9d4yghm3lzjl8jt/VapeRoomlogo_square.png?dl=0&preview=VapeRoomlogo_square.png,Aloha eLiquids - Apples and Tea - E Liquid,,,,,,,,,,,,,,,,,,g
aloha-eliquids-apples-and-tea,,,,,,,,30ml,,0mg,,70% VG,"",30,shopify,0,continue,manual,24.0,,true,true,,https://www.dropbox.com/s/9d4yghm3lzjl8jt/VapeRoomlogo_square.png?dl=0&preview=VapeRoomlogo_square.png,Aloha eLiquids - Apples and Tea - E Liquid,,,,,,,,,,,,,,,,,,g
aloha-eliquids-apples-and-tea,,,,,,,,30ml,,3mg,,70% VG,"",30,shopify,0,continue,manual,24.0,,true,true,,https://www.dropbox.com/s/9d4yghm3lzjl8jt/VapeRoomlogo_square.png?dl=0&preview=VapeRoomlogo_square.png,Aloha eLiquids - Apples and Tea - E Liquid,,,,,,,,,,,,,,,,,,g
aloha-eliquids-apples-and-tea,,,,,,,,30ml,,6mg,,70% VG,"",30,shopify,0,continue,manual,24.0,,true,true,,https://www.dropbox.com/s/9d4yghm3lzjl8jt/VapeRoomlogo_square.png?dl=0&preview=VapeRoomlogo_square.png,Aloha eLiquids - Apples and Tea - E Liquid,,,,,,,,,,,,,,,,,,g
aloha-eliquids-apples-and-tea,,,,,,,,30ml,,12mg,,70% VG,"",30,shopify,0,continue,manual,24.0,,true,true,,https://www.dropbox.com/s/9d4yghm3lzjl8jt/VapeRoomlogo_square.png?dl=0&preview=VapeRoomlogo_square.png,Aloha eLiquids - Apples and Tea - E Liquid,,,,,,,,,,,,,,,,,,g
aloha-eliquids-apples-and-tea,,,,,,,,120ml,,0mg,,70% VG,"",120,shopify,0,continue,manual,60.0,,true,true,,https://www.dropbox.com/s/9d4yghm3lzjl8jt/VapeRoomlogo_square.png?dl=0&preview=VapeRoomlogo_square.png,Aloha eLiquids - Apples and Tea - E Liquid,,,,,,,,,,,,,,,,,,g
aloha-eliquids-apples-and-tea,,,,,,,,120ml,,3mg,,70% VG,"",120,shopify,0,continue,manual,60.0,,true,true,,https://www.dropbox.com/s/9d4yghm3lzjl8jt/VapeRoomlogo_square.png?dl=0&preview=VapeRoomlogo_square.png,Aloha eLiquids - Apples and Tea - E Liquid,,,,,,,,,,,,,,,,,,g
aloha-eliquids-apples-and-tea,,,,,,,,120ml,,6mg,,70% VG,"",120,shopify,0,continue,manual,60.0,,true,true,,https://www.dropbox.com/s/9d4yghm3lzjl8jt/VapeRoomlogo_square.png?dl=0&preview=VapeRoomlogo_square.png,Aloha eLiquids - Apples and Tea - E Liquid,,,,,,,,,,,,,,,,,,g
aloha-eliquids-apples-and-tea,,,,,,,,120ml,,12mg,,70% VG,"",120,shopify,0,continue,manual,60.0,,true,true,,https://www.dropbox.com/s/9d4yghm3lzjl8jt/VapeRoomlogo_square.png?dl=0&preview=VapeRoomlogo_square.png,Aloha eLiquids - Apples and Tea - E Liquid,,,,,,,,,,,,,,,,,,g
aloha-eliquids-passion-fruit--lilikoi,Passion Fruit  Lilikoi,"Imagine that green can fresh out of the fridge and now imagine yourself enjoying the taste of a crisp and refreshing apple citrus lime iced tea in your vape.","Aloha eLiquids",E Liquid,"e-Juice preorder,70% VG",true,Bottle Size,15ml,Nicotine Level,0mg,PG/VG Ratio,70% VG,"",15,shopify,0,continue,manual,12.0,,true,true,,https://www.dropbox.com/s/9d4yghm3lzjl8jt/VapeRoomlogo_square.png?dl=0&preview=VapeRoomlogo_square.png,Aloha eLiquids - Passion Fruit  Lilikoi - E Liquid,false,,,,,,,,,,,,,,,,,g
aloha-eliquids-passion-fruit--lilikoi,,,,,,,,15ml,,3mg,,70% VG,"",15,shopify,0,continue,manual,12.0,,true,true,,https://www.dropbox.com/s/9d4yghm3lzjl8jt/VapeRoomlogo_square.png?dl=0&preview=VapeRoomlogo_square.png,Aloha eLiquids - Passion Fruit  Lilikoi - E Liquid,,,,,,,,,,,,,,,,,,g
aloha-eliquids-passion-fruit--lilikoi,,,,,,,,15ml,,6mg,,70% VG,"",15,shopify,0,continue,manual,12.0,,true,true,,https://www.dropbox.com/s/9d4yghm3lzjl8jt/VapeRoomlogo_square.png?dl=0&preview=VapeRoomlogo_square.png,Aloha eLiquids - Passion Fruit  Lilikoi - E Liquid,,,,,,,,,,,,,,,,,,g
aloha-eliquids-passion-fruit--lilikoi,,,,,,,,15ml,,12mg,,70% VG,"",15,shopify,0,continue,manual,12.0,,true,true,,https://www.dropbox.com/s/9d4yghm3lzjl8jt/VapeRoomlogo_square.png?dl=0&preview=VapeRoomlogo_square.png,Aloha eLiquids - Passion Fruit  Lilikoi - E Liquid,,,,,,,,,,,,,,,,,,g
aloha-eliquids-passion-fruit--lilikoi,,,,,,,,30ml,,0mg,,70% VG,"",30,shopify,0,continue,manual,24.0,,true,true,,https://www.dropbox.com/s/9d4yghm3lzjl8jt/VapeRoomlogo_square.png?dl=0&preview=VapeRoomlogo_square.png,Aloha eLiquids - Passion Fruit  Lilikoi - E Liquid,,,,,,,,,,,,,,,,,,g
aloha-eliquids-passion-fruit--lilikoi,,,,,,,,30ml,,3mg,,70% VG,"",30,shopify,0,continue,manual,24.0,,true,true,,https://www.dropbox.com/s/9d4yghm3lzjl8jt/VapeRoomlogo_square.png?dl=0&preview=VapeRoomlogo_square.png,Aloha eLiquids - Passion Fruit  Lilikoi - E Liquid,,,,,,,,,,,,,,,,,,g
aloha-eliquids-passion-fruit--lilikoi,,,,,,,,30ml,,6mg,,70% VG,"",30,shopify,0,continue,manual,24.0,,true,true,,https://www.dropbox.com/s/9d4yghm3lzjl8jt/VapeRoomlogo_square.png?dl=0&preview=VapeRoomlogo_square.png,Aloha eLiquids - Passion Fruit  Lilikoi - E Liquid,,,,,,,,,,,,,,,,,,g
aloha-eliquids-passion-fruit--lilikoi,,,,,,,,30ml,,12mg,,70% VG,"",30,shopify,0,continue,manual,24.0,,true,true,,https://www.dropbox.com/s/9d4yghm3lzjl8jt/VapeRoomlogo_square.png?dl=0&preview=VapeRoomlogo_square.png,Aloha eLiquids - Passion Fruit  Lilikoi - E Liquid,,,,,,,,,,,,,,,,,,g
aloha-eliquids-passion-fruit--lilikoi,,,,,,,,120ml,,0mg,,70% VG,"",120,shopify,0,continue,manual,60.0,,true,true,,https://www.dropbox.com/s/9d4yghm3lzjl8jt/VapeRoomlogo_square.png?dl=0&preview=VapeRoomlogo_square.png,Aloha eLiquids - Passion Fruit  Lilikoi - E Liquid,,,,,,,,,,,,,,,,,,g
aloha-eliquids-passion-fruit--lilikoi,,,,,,,,120ml,,3mg,,70% VG,"",120,shopify,0,continue,manual,60.0,,true,true,,https://www.dropbox.com/s/9d4yghm3lzjl8jt/VapeRoomlogo_square.png?dl=0&preview=VapeRoomlogo_square.png,Aloha eLiquids - Passion Fruit  Lilikoi - E Liquid,,,,,,,,,,,,,,,,,,g
aloha-eliquids-passion-fruit--lilikoi,,,,,,,,120ml,,6mg,,70% VG,"",120,shopify,0,continue,manual,60.0,,true,true,,https://www.dropbox.com/s/9d4yghm3lzjl8jt/VapeRoomlogo_square.png?dl=0&preview=VapeRoomlogo_square.png,Aloha eLiquids - Passion Fruit  Lilikoi - E Liquid,,,,,,,,,,,,,,,,,,g
aloha-eliquids-passion-fruit--lilikoi,,,,,,,,120ml,,12mg,,70% VG,"",120,shopify,0,continue,manual,60.0,,true,true,,https://www.dropbox.com/s/9d4yghm3lzjl8jt/VapeRoomlogo_square.png?dl=0&preview=VapeRoomlogo_square.png,Aloha eLiquids - Passion Fruit  Lilikoi - E Liquid,,,,,,,,,,,,,,,,,,g
aloha-eliquids-passion-fruit--oranges,Passion Fruit  Oranges,"A sweet orange bang with a sensational mix of the exotic fruitiness of Passion fruit straight from the islands of Hawaii.","Aloha eLiquids",E Liquid,"e-Juice preorder,70% VG",true,Bottle Size,15ml,Nicotine Level,0mg,PG/VG Ratio,70% VG,"",15,shopify,0,continue,manual,12.0,,true,true,,https://www.dropbox.com/s/9d4yghm3lzjl8jt/VapeRoomlogo_square.png?dl=0&preview=VapeRoomlogo_square.png,Aloha eLiquids - Passion Fruit  Oranges - E Liquid,false,,,,,,,,,,,,,,,,,g
aloha-eliquids-passion-fruit--oranges,,,,,,,,15ml,,3mg,,70% VG,"",15,shopify,0,continue,manual,12.0,,true,true,,https://www.dropbox.com/s/9d4yghm3lzjl8jt/VapeRoomlogo_square.png?dl=0&preview=VapeRoomlogo_square.png,Aloha eLiquids - Passion Fruit  Oranges - E Liquid,,,,,,,,,,,,,,,,,,g
